Text,Generic Class,Original class,Source,Dialect
"Aw enn l ahla men hek hay li btelbesle crop top b noss din l sa23a w l talej w bte23ad tne2 ""Msa23aaa"" ""Ya alla ktir sa23aa"" N2ebre lbese.",non-offensive,None,(Raïdy and Harmanani 2023),LB
yu2brnee jamelo pepe :p tfeh shu beche3 bas li kanze por la decima ma7leto,non-offensive,None,(Raïdy and Harmanani 2023),LB
Lea ktir pedophile 😂,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Shu hal hmar hayda,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Fasharet 3a ra2btak w ra2bit m3almak w ra2bit li khalafouk,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hayda ensen marid,non-offensive,None,(Raïdy and Harmanani 2023),LB
my uncle is lowkey aawne w ktir aabele natfo,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hmar mn Lebnen. Roo7 ballit l ba7r 😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
Rou2 noss se3a bro bkhaliss ma emmak bkaffeh ma3ak habibeh,non-offensive,None,(Raïdy and Harmanani 2023),LB
Morda ento 3njd!😂 alla yechfikon 🍊 At least fhame l tweet aw 2ri chway abel ma tekhter3e 3azaw2ik🤦🏻‍♂️,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ya 3ayb shomm,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Gebran_Bassil We2e7,non-offensive,None,(Raïdy and Harmanani 2023),LB
Shu enkon hebel,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Min hayda mark daou mfakkar 7alo bel chere3 ....,non-offensive,None,(Raïdy and Harmanani 2023),LB
Awal shi hayda teskir tari2 ken Tene shi fi correlation ben art majors and acting like you're really smart or something tat3awdo 3an no2os?,non-offensive,None,(Raïdy and Harmanani 2023),LB
hayda essem 3a moussama ye3ne hachach mhachach,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Bas es2al lea chou sarit dersa. Bendam.,non-offensive,None,(Raïdy and Harmanani 2023),LB
@YaraOkdi @BobFanous @Rheabutts chou khassik ente chou 7achoura,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Leahgea chu hayda? Oulilo you3a 3ala habelto,non-offensive,None,(Raïdy and Harmanani 2023),LB
#MissLebanon aya la2an sha2ra t2ahalitt?? Mesta2shra hbb dima #MissLebanon,non-offensive,None,(Raïdy and Harmanani 2023),LB
